user_id,gender,age,location,buy_frequency,payment_method,satisfaction,return_reason
user_87,other,21,HCM,monthly,e-wallet,1,late_delivery
user_88,male,35,DN,weekly,COD,4,late_delivery
user_89,female,34,HN,daily,e-wallet,5,wrong_item
user_90,male,24,HN,daily,COD,2,size_issue
user_91,male,49,HN,daily,credit_card,5,size_issue
user_92,male,41,Other,rarely,COD,4,late_delivery
user_93,male,40,HCM,monthly,e-wallet,4,no_reason
user_94,other,47,HCM,rarely,e-wallet,3,size_issue
user_95,male,49,HCM,monthly,e-wallet,2,wrong_item
user_96,male,22,Other,weekly,credit_card,4,quality_issue
user_97,male,29,HCM,weekly,credit_card,3,quality_issue
user_98,other,34,Other,daily,e-wallet,3,quality_issue
user_99,male,40,HN,monthly,COD,5,no_reason
user_100,male,30,DN,weekly,credit_card,5,late_delivery
user_101,other,40,HCM,monthly,e-wallet,3,wrong_item
user_102,other,42,HCM,weekly,e-wallet,5,no_reason
user_103,other,20,HN,rarely,credit_card,4,wrong_item
user_104,male,26,DN,weekly,credit_card,1,wrong_item
user_105,other,47,Other,rarely,credit_card,4,late_delivery
user_106,other,34,DN,weekly,COD,3,quality_issue
user_107,male,34,HN,daily,COD,3,late_delivery
user_108,other,47,HN,rarely,e-wallet,4,no_reason
user_109,male,37,DN,weekly,credit_card,5,no_reason
user_110,female,33,Other,daily,COD,5,no_reason
user_111,other,42,Other,rarely,credit_card,3,late_delivery
user_112,female,39,HCM,daily,e-wallet,2,wrong_item
user_113,male,30,Other,monthly,COD,5,wrong_item
user_114,other,44,DN,monthly,COD,4,size_issue
user_115,male,36,HN,rarely,COD,5,no_reason
user_116,female,34,HCM,weekly,e-wallet,4,wrong_item
user_117,male,21,HCM,rarely,credit_card,3,size_issue
user_118,other,29,HN,daily,COD,5,wrong_item
user_119,other,46,Other,weekly,e-wallet,4,no_reason
user_120,female,26,HN,monthly,credit_card,3,quality_issue
user_121,male,36,Other,weekly,e-wallet,2,no_reason
user_122,other,29,HN,monthly,credit_card,4,late_delivery
user_123,female,26,DN,weekly,e-wallet,2,wrong_item
user_124,other,24,Other,weekly,credit_card,2,wrong_item
user_125,other,45,DN,weekly,COD,1,late_delivery
user_126,male,31,HCM,daily,credit_card,5,late_delivery
user_127,other,48,HN,daily,e-wallet,4,quality_issue
user_128,male,49,HCM,rarely,e-wallet,2,wrong_item
user_129,other,37,HCM,rarely,credit_card,1,wrong_item
user_130,female,36,HCM,monthly,COD,3,quality_issue
user_131,other,43,HCM,daily,COD,4,size_issue
user_132,male,32,HN,monthly,credit_card,2,quality_issue
user_133,male,33,HCM,rarely,credit_card,5,no_reason
user_134,female,38,HN,monthly,e-wallet,1,wrong_item
user_135,other,22,HN,rarely,COD,2,late_delivery
user_136,other,20,DN,daily,credit_card,5,no_reason
user_137,female,29,Other,weekly,COD,2,wrong_item
user_138,other,42,Other,daily,credit_card,4,quality_issue
user_139,other,37,HN,monthly,credit_card,4,no_reason
user_140,male,44,DN,monthly,COD,4,wrong_item
user_141,other,38,HN,daily,credit_card,1,size_issue
user_142,other,21,HN,daily,credit_card,4,size_issue
user_143,female,38,HN,rarely,e-wallet,5,late_delivery
user_144,female,40,DN,monthly,credit_card,2,wrong_item
user_145,male,33,Other,monthly,credit_card,3,size_issue
user_146,other,42,DN,daily,credit_card,5,quality_issue
user_147,other,24,HCM,weekly,e-wallet,5,wrong_item
user_148,other,30,DN,monthly,COD,4,quality_issue
user_149,male,38,DN,weekly,e-wallet,1,quality_issue
user_150,male,27,DN,daily,e-wallet,2,size_issue
user_151,female,43,DN,daily,COD,1,wrong_item
user_152,male,24,Other,rarely,e-wallet,2,no_reason
user_153,other,31,HCM,monthly,COD,2,size_issue
user_154,other,48,Other,weekly,e-wallet,1,size_issue
user_155,male,43,Other,rarely,COD,5,wrong_item
user_156,other,22,DN,monthly,credit_card,2,wrong_item
user_157,other,20,HN,rarely,e-wallet,1,quality_issue
user_158,male,40,HN,daily,e-wallet,2,wrong_item
user_159,male,46,Other,monthly,e-wallet,3,quality_issue
user_160,other,28,Other,rarely,e-wallet,5,size_issue
user_161,other,28,DN,rarely,credit_card,4,late_delivery
user_162,other,35,Other,weekly,e-wallet,2,no_reason
user_163,female,32,DN,rarely,credit_card,3,size_issue
user_164,female,29,HN,monthly,credit_card,4,wrong_item
user_165,female,26,HN,monthly,credit_card,4,no_reason
user_166,male,27,HCM,weekly,credit_card,2,late_delivery
user_167,female,43,HN,monthly,COD,1,late_delivery
user_168,male,29,Other,daily,COD,2,quality_issue
user_169,male,34,HN,monthly,e-wallet,3,no_reason
user_170,female,46,DN,monthly,COD,4,quality_issue
user_171,female,23,HN,rarely,COD,2,size_issue
user_172,female,24,HCM,rarely,e-wallet,1,no_reason
user_173,other,31,HN,monthly,e-wallet,2,size_issue
user_174,female,30,DN,weekly,e-wallet,5,quality_issue
user_175,other,25,DN,rarely,COD,1,no_reason
user_176,male,27,Other,weekly,COD,3,quality_issue
user_177,other,26,HN,monthly,e-wallet,4,no_reason
user_178,female,35,DN,monthly,credit_card,2,quality_issue
user_179,male,44,HCM,daily,e-wallet,1,late_delivery
user_180,male,43,Other,rarely,credit_card,5,quality_issue
user_181,male,19,HCM,monthly,credit_card,1,late_delivery
user_182,other,22,HN,daily,e-wallet,5,quality_issue
user_183,female,46,HN,rarely,e-wallet,3,no_reason
user_184,male,22,HN,monthly,e-wallet,4,no_reason
user_185,male,23,Other,monthly,COD,3,no_reason
user_186,male,36,DN,rarely,credit_card,2,wrong_item
user_187,other,25,Other,rarely,COD,1,size_issue
user_188,other,33,HCM,rarely,COD,5,no_reason
user_189,female,30,Other,monthly,e-wallet,5,late_delivery
user_190,other,18,HCM,monthly,COD,1,no_reason
user_191,male,39,Other,daily,e-wallet,1,wrong_item
user_192,female,37,DN,weekly,credit_card,2,late_delivery
user_193,male,34,HCM,rarely,e-wallet,3,wrong_item
user_194,male,48,HN,monthly,COD,5,late_delivery
user_195,other,24,HN,monthly,COD,2,quality_issue
user_196,female,42,Other,rarely,e-wallet,3,size_issue
user_197,other,30,HN,weekly,e-wallet,2,size_issue
user_198,other,21,HCM,rarely,COD,5,wrong_item
user_199,female,21,HN,weekly,credit_card,1,size_issue
user_200,male,23,DN,monthly,credit_card,1,wrong_item
user_201,male,45,DN,weekly,e-wallet,3,wrong_item
user_202,female,48,Other,daily,credit_card,4,wrong_item
user_203,male,36,HCM,monthly,COD,3,size_issue
user_204,female,46,DN,daily,e-wallet,4,wrong_item
user_205,female,29,DN,rarely,COD,2,size_issue
user_206,other,39,HCM,rarely,COD,2,wrong_item
user_207,female,24,HN,rarely,credit_card,5,no_reason
user_208,other,44,HN,weekly,e-wallet,4,wrong_item
user_209,male,27,Other,monthly,e-wallet,5,late_delivery
user_210,male,43,HN,rarely,credit_card,1,wrong_item
user_211,male,36,HCM,rarely,COD,4,quality_issue
user_212,male,24,DN,monthly,COD,3,wrong_item
user_213,other,47,HN,rarely,COD,1,late_delivery
user_214,male,20,Other,daily,COD,1,late_delivery
user_215,female,30,HN,monthly,e-wallet,3,size_issue
user_216,female,30,HCM,monthly,e-wallet,1,no_reason
user_217,female,35,Other,monthly,credit_card,4,wrong_item
user_218,other,45,HN,daily,credit_card,5,size_issue
user_219,male,47,Other,monthly,e-wallet,1,no_reason
user_220,male,43,HCM,daily,e-wallet,4,wrong_item
user_221,male,37,DN,monthly,COD,2,quality_issue
user_222,other,45,HCM,weekly,COD,4,wrong_item
user_223,female,25,HCM,rarely,credit_card,5,late_delivery
user_224,female,46,HCM,weekly,e-wallet,4,late_delivery
user_225,male,48,HCM,rarely,credit_card,3,quality_issue
user_226,female,26,DN,daily,e-wallet,5,size_issue
user_227,female,24,DN,weekly,COD,2,no_reason
user_228,other,18,Other,monthly,credit_card,3,wrong_item
user_229,other,20,HN,rarely,credit_card,4,late_delivery
user_230,other,30,DN,rarely,e-wallet,5,size_issue
user_231,other,45,DN,weekly,COD,2,quality_issue
user_232,male,47,HN,daily,credit_card,3,late_delivery
user_233,other,42,DN,weekly,COD,2,quality_issue
user_234,female,48,HCM,daily,credit_card,4,wrong_item
user_235,male,45,HCM,daily,COD,2,no_reason
user_236,female,34,HN,rarely,e-wallet,1,late_delivery
user_237,female,42,Other,weekly,credit_card,3,late_delivery
user_238,female,41,Other,weekly,credit_card,2,wrong_item
user_239,other,18,HN,daily,COD,4,size_issue
user_240,other,23,HN,weekly,COD,4,no_reason
user_241,male,38,HCM,monthly,credit_card,2,late_delivery
user_242,male,23,Other,monthly,e-wallet,4,no_reason
user_243,other,43,DN,weekly,COD,5,late_delivery
user_244,female,29,HCM,weekly,COD,5,no_reason
user_245,male,30,HN,daily,COD,5,quality_issue
user_246,other,49,Other,monthly,credit_card,1,late_delivery
user_247,other,30,DN,monthly,credit_card,2,no_reason
user_248,other,46,DN,rarely,credit_card,1,size_issue
user_249,female,32,HCM,daily,credit_card,4,quality_issue
user_250,other,38,Other,rarely,e-wallet,1,quality_issue
user_251,other,33,Other,monthly,e-wallet,4,size_issue
user_252,other,39,HN,daily,credit_card,4,no_reason
user_253,other,38,Other,weekly,e-wallet,3,wrong_item
user_254,male,28,Other,daily,COD,5,size_issue
user_255,male,45,HCM,weekly,COD,4,no_reason
user_256,other,22,Other,weekly,COD,3,size_issue
user_257,female,21,DN,daily,credit_card,5,size_issue
user_258,male,20,HCM,weekly,COD,4,late_delivery
user_259,other,36,HCM,rarely,e-wallet,4,no_reason
user_260,male,37,HN,monthly,credit_card,1,wrong_item
user_261,male,42,Other,weekly,e-wallet,1,late_delivery
user_262,female,35,HN,rarely,COD,5,size_issue
user_263,other,32,DN,weekly,COD,4,size_issue
user_264,other,26,HCM,monthly,COD,2,size_issue
user_265,female,34,HCM,rarely,credit_card,1,no_reason
user_266,female,31,HCM,monthly,e-wallet,5,no_reason
user_267,other,32,DN,monthly,credit_card,4,late_delivery
user_268,other,48,DN,rarely,credit_card,4,wrong_item
user_269,female,18,HN,rarely,COD,2,late_delivery
user_270,male,38,HN,rarely,credit_card,5,quality_issue
user_271,male,39,HN,daily,credit_card,4,size_issue
user_272,female,39,Other,rarely,COD,1,size_issue
user_273,male,20,HCM,rarely,credit_card,2,size_issue
user_274,female,33,HCM,rarely,COD,5,late_delivery
user_275,male,40,HN,rarely,COD,2,late_delivery
user_276,male,42,HCM,weekly,COD,1,size_issue
user_277,other,28,HN,daily,COD,5,late_delivery
user_278,other,29,Other,monthly,credit_card,2,no_reason
user_279,male,27,Other,rarely,COD,3,no_reason
user_280,male,49,DN,weekly,COD,1,late_delivery
user_281,other,33,Other,weekly,credit_card,1,size_issue
user_282,other,25,HN,weekly,credit_card,1,late_delivery
user_283,other,23,Other,monthly,e-wallet,3,late_delivery
user_284,female,29,DN,rarely,credit_card,3,late_delivery
user_285,male,41,HCM,daily,credit_card,4,quality_issue
user_286,other,45,HN,daily,e-wallet,2,no_reason
user_287,male,38,HCM,weekly,credit_card,4,wrong_item
user_288,female,25,DN,monthly,credit_card,2,wrong_item
user_289,female,43,DN,monthly,credit_card,3,quality_issue
user_290,other,45,DN,monthly,credit_card,3,late_delivery
user_291,female,21,HCM,daily,e-wallet,4,quality_issue
user_292,male,43,HCM,weekly,credit_card,5,quality_issue
user_293,other,25,HCM,rarely,credit_card,4,size_issue
user_294,male,43,HCM,daily,e-wallet,2,no_reason
user_295,male,45,DN,weekly,COD,4,wrong_item
user_296,female,35,DN,weekly,e-wallet,1,late_delivery
user_297,female,45,HN,rarely,COD,2,wrong_item
user_298,female,45,HN,rarely,e-wallet,2,wrong_item
user_299,female,22,HCM,rarely,e-wallet,5,no_reason
user_300,female,26,Other,monthly,credit_card,3,wrong_item
user_301,other,21,Other,rarely,COD,2,wrong_item
user_302,male,49,DN,weekly,credit_card,3,quality_issue
user_303,male,44,DN,rarely,COD,4,no_reason
user_304,male,39,DN,weekly,e-wallet,1,size_issue
user_305,male,48,HN,daily,e-wallet,5,late_delivery
user_306,female,34,HN,monthly,COD,3,wrong_item
user_307,male,26,DN,daily,credit_card,2,late_delivery
user_308,other,18,DN,daily,credit_card,3,size_issue
user_309,other,38,DN,weekly,credit_card,2,late_delivery
user_310,male,37,Other,daily,credit_card,3,size_issue
user_311,male,30,HN,weekly,e-wallet,2,quality_issue
user_312,other,45,Other,rarely,e-wallet,4,wrong_item
user_313,other,33,Other,rarely,e-wallet,2,size_issue
user_314,female,46,DN,weekly,e-wallet,2,late_delivery
user_315,other,30,DN,rarely,e-wallet,1,wrong_item
user_316,female,31,HCM,monthly,credit_card,2,quality_issue
user_317,female,20,HCM,daily,credit_card,1,wrong_item
user_318,female,46,Other,monthly,credit_card,5,size_issue
user_319,female,23,HN,daily,credit_card,1,quality_issue
user_320,female,35,DN,rarely,e-wallet,4,late_delivery
user_321,male,36,DN,monthly,e-wallet,1,quality_issue
user_322,other,49,Other,rarely,e-wallet,5,quality_issue
user_323,female,22,HCM,daily,COD,4,no_reason
user_324,other,32,HN,weekly,credit_card,3,quality_issue
user_325,other,42,HCM,weekly,credit_card,3,quality_issue
user_326,female,19,HCM,monthly,e-wallet,1,wrong_item
user_327,male,27,HCM,rarely,credit_card,1,late_delivery
user_328,female,41,HCM,rarely,credit_card,5,wrong_item
user_329,male,47,DN,monthly,e-wallet,5,wrong_item
user_330,other,35,DN,weekly,COD,2,size_issue
user_331,male,44,HCM,daily,COD,5,wrong_item
user_332,male,30,HN,monthly,COD,2,no_reason
user_333,male,22,Other,daily,e-wallet,4,no_reason
user_334,other,40,HN,weekly,credit_card,1,size_issue
user_335,other,41,HN,rarely,e-wallet,4,late_delivery
user_336,male,18,HN,weekly,e-wallet,5,late_delivery
user_337,male,39,HCM,monthly,credit_card,4,wrong_item
user_338,female,18,DN,rarely,COD,4,wrong_item
user_339,male,35,HN,monthly,COD,4,wrong_item
user_340,female,49,HCM,monthly,e-wallet,5,late_delivery
user_341,male,32,HN,weekly,COD,4,quality_issue
user_342,female,34,HN,monthly,e-wallet,2,no_reason
user_343,other,28,HCM,weekly,e-wallet,5,quality_issue
user_344,male,38,DN,rarely,credit_card,4,quality_issue
user_345,male,43,DN,weekly,credit_card,5,late_delivery
user_346,male,48,Other,rarely,credit_card,3,quality_issue
user_347,male,42,HCM,weekly,e-wallet,2,size_issue
user_348,female,39,Other,daily,credit_card,4,wrong_item
user_349,male,44,Other,daily,COD,3,size_issue
user_350,other,44,Other,monthly,COD,3,no_reason
user_351,other,34,DN,weekly,e-wallet,5,wrong_item
user_352,male,30,HCM,weekly,e-wallet,3,quality_issue
user_353,other,18,Other,rarely,credit_card,2,no_reason
user_354,male,19,HCM,monthly,e-wallet,2,wrong_item
user_355,male,26,HCM,weekly,e-wallet,1,quality_issue
user_356,other,20,DN,monthly,COD,2,size_issue
user_357,male,48,Other,daily,COD,3,wrong_item
user_358,other,18,Other,weekly,credit_card,2,quality_issue
user_359,female,38,HCM,weekly,e-wallet,5,size_issue
user_360,male,33,HN,monthly,e-wallet,1,no_reason
user_361,female,40,DN,weekly,COD,3,no_reason
user_362,other,23,DN,monthly,e-wallet,1,no_reason
user_363,female,45,DN,weekly,COD,3,no_reason
user_364,female,34,DN,rarely,credit_card,5,late_delivery
user_365,other,22,Other,monthly,COD,1,wrong_item
user_366,female,48,Other,weekly,e-wallet,4,wrong_item
user_367,female,22,HN,daily,credit_card,3,late_delivery
user_368,other,23,DN,weekly,COD,4,quality_issue
user_369,female,20,DN,daily,COD,1,quality_issue
user_370,other,38,HCM,daily,credit_card,4,no_reason
user_371,female,40,Other,rarely,credit_card,4,size_issue
user_372,other,22,DN,monthly,COD,1,quality_issue
user_373,other,38,HN,weekly,e-wallet,5,size_issue
user_374,female,22,HN,rarely,COD,4,wrong_item
user_375,female,27,Other,weekly,credit_card,4,size_issue
user_376,female,27,HN,daily,COD,5,wrong_item
user_377,male,36,HN,monthly,credit_card,4,late_delivery
user_378,male,34,Other,weekly,credit_card,4,late_delivery
user_379,male,38,DN,weekly,e-wallet,4,no_reason
user_380,other,31,DN,daily,credit_card,2,quality_issue
user_381,female,26,HN,weekly,credit_card,5,no_reason
user_382,other,31,HN,weekly,e-wallet,4,wrong_item
user_383,male,18,DN,daily,credit_card,5,no_reason
user_384,female,36,Other,rarely,e-wallet,3,size_issue
user_385,other,30,HN,daily,e-wallet,3,wrong_item
user_386,female,30,HCM,rarely,credit_card,4,late_delivery
user_387,other,21,Other,monthly,credit_card,5,quality_issue
user_388,female,47,HN,rarely,COD,5,wrong_item
user_389,male,18,HN,rarely,e-wallet,5,wrong_item
user_390,male,34,HCM,monthly,COD,2,size_issue
user_391,female,25,HCM,rarely,credit_card,3,quality_issue
user_392,other,49,DN,daily,COD,5,late_delivery
user_393,male,19,Other,rarely,e-wallet,5,wrong_item
user_394,male,45,Other,monthly,COD,2,wrong_item
user_395,male,48,DN,daily,e-wallet,2,size_issue
user_396,female,25,Other,monthly,credit_card,5,no_reason
user_397,female,24,Other,monthly,credit_card,1,late_delivery
user_398,other,43,Other,weekly,e-wallet,5,quality_issue
user_399,other,43,Other,weekly,credit_card,5,wrong_item
user_400,other,19,Other,monthly,credit_card,2,wrong_item
user_401,female,39,HCM,monthly,credit_card,2,late_delivery
user_402,female,39,Other,monthly,credit_card,5,no_reason
user_403,other,20,HCM,weekly,e-wallet,5,wrong_item
user_404,other,44,Other,weekly,COD,5,late_delivery
user_405,female,35,DN,rarely,COD,2,size_issue
user_406,other,29,HN,rarely,credit_card,5,no_reason
user_407,male,18,HCM,monthly,COD,5,quality_issue
user_408,female,39,Other,daily,COD,4,wrong_item
user_409,other,29,DN,daily,credit_card,1,late_delivery
user_410,female,22,HN,weekly,credit_card,3,size_issue
user_411,male,47,HCM,weekly,COD,1,quality_issue
user_412,female,47,HN,weekly,e-wallet,4,late_delivery
user_413,female,44,DN,monthly,credit_card,3,late_delivery
user_414,female,42,HCM,daily,e-wallet,5,quality_issue
user_415,female,34,HN,rarely,COD,4,size_issue
user_416,male,33,Other,monthly,credit_card,5,size_issue
user_417,female,48,HCM,rarely,e-wallet,2,no_reason
user_418,female,32,HN,rarely,credit_card,4,wrong_item
user_419,other,40,DN,monthly,COD,2,quality_issue
user_420,female,32,DN,rarely,e-wallet,4,quality_issue
user_421,other,22,HCM,daily,COD,4,quality_issue
user_422,male,38,HN,rarely,COD,2,size_issue
user_423,male,31,HCM,daily,credit_card,3,wrong_item
user_424,male,19,HCM,daily,e-wallet,1,no_reason
user_425,male,28,HN,daily,COD,5,late_delivery
user_426,other,36,HN,weekly,COD,4,late_delivery
user_427,female,24,Other,rarely,e-wallet,5,quality_issue
user_428,male,23,HN,monthly,COD,2,wrong_item
user_429,female,49,DN,monthly,COD,5,size_issue
user_430,other,45,HCM,rarely,e-wallet,2,wrong_item
user_431,other,19,HCM,weekly,e-wallet,5,wrong_item
user_432,other,23,DN,weekly,e-wallet,1,size_issue
user_433,male,35,HN,daily,e-wallet,1,quality_issue
user_434,female,19,DN,rarely,credit_card,1,wrong_item
user_435,female,35,DN,rarely,e-wallet,1,late_delivery
user_436,female,47,Other,monthly,credit_card,1,size_issue
user_437,other,32,DN,rarely,credit_card,1,no_reason
user_438,male,44,HCM,weekly,credit_card,2,quality_issue
user_439,other,36,DN,rarely,COD,4,size_issue
user_440,other,48,HCM,monthly,credit_card,5,no_reason
user_441,female,19,HCM,daily,credit_card,1,no_reason
user_442,other,37,HCM,monthly,COD,2,wrong_item
user_443,female,42,HN,monthly,COD,2,wrong_item
user_444,male,23,Other,daily,COD,2,wrong_item
user_445,female,18,HCM,monthly,e-wallet,4,size_issue
user_446,male,41,HCM,monthly,COD,5,size_issue
user_447,female,32,HN,rarely,COD,4,quality_issue
user_448,other,45,HCM,rarely,credit_card,3,wrong_item
user_449,other,47,DN,daily,COD,2,no_reason
user_450,male,40,DN,rarely,e-wallet,3,late_delivery
user_451,male,27,Other,rarely,COD,1,quality_issue
user_452,male,36,HCM,monthly,e-wallet,1,size_issue
user_453,female,34,HN,weekly,COD,4,quality_issue
user_454,female,22,DN,rarely,COD,5,quality_issue
user_455,male,46,HN,weekly,COD,3,quality_issue
user_456,other,21,HN,rarely,COD,5,quality_issue
user_457,female,27,DN,rarely,e-wallet,4,late_delivery
user_458,female,41,HN,daily,e-wallet,1,wrong_item
user_459,female,34,DN,daily,credit_card,5,no_reason
user_460,male,27,HN,daily,e-wallet,5,quality_issue
user_461,male,34,DN,weekly,COD,1,quality_issue
user_462,male,45,HCM,monthly,credit_card,3,quality_issue
user_463,male,37,Other,rarely,credit_card,1,wrong_item
user_464,male,41,DN,rarely,credit_card,5,size_issue
user_465,other,22,DN,rarely,COD,3,size_issue
user_466,other,19,Other,weekly,e-wallet,3,late_delivery
user_467,male,23,DN,daily,COD,1,size_issue
user_468,female,38,DN,monthly,credit_card,5,quality_issue
user_469,male,19,HN,weekly,COD,4,quality_issue
user_470,other,30,Other,daily,COD,5,quality_issue
user_471,other,47,HCM,weekly,e-wallet,2,late_delivery
user_472,female,28,DN,monthly,e-wallet,4,quality_issue
user_473,other,28,Other,daily,credit_card,3,size_issue
user_474,male,33,HN,weekly,COD,4,wrong_item
user_475,female,28,HCM,monthly,COD,3,wrong_item
user_476,male,36,Other,rarely,e-wallet,3,no_reason
user_477,male,32,HCM,monthly,COD,4,size_issue
user_478,female,42,HCM,rarely,COD,3,quality_issue
user_479,male,40,HCM,weekly,COD,3,wrong_item
user_480,other,40,DN,daily,e-wallet,2,size_issue
user_481,male,33,DN,daily,credit_card,5,wrong_item
user_482,female,48,HN,weekly,credit_card,5,quality_issue
user_483,female,28,HN,daily,COD,2,wrong_item
user_484,female,39,Other,daily,credit_card,4,no_reason
user_485,male,33,HN,rarely,e-wallet,1,no_reason
user_486,female,25,HCM,weekly,e-wallet,1,wrong_item
user_487,female,21,HCM,monthly,credit_card,1,size_issue
user_488,male,25,DN,rarely,credit_card,2,size_issue
user_489,other,21,HCM,weekly,COD,2,size_issue
user_490,male,41,Other,rarely,credit_card,3,wrong_item
user_491,female,42,HCM,monthly,COD,1,size_issue
user_492,female,20,HCM,monthly,COD,4,quality_issue
user_493,male,49,Other,weekly,e-wallet,4,no_reason
user_494,other,20,HN,monthly,e-wallet,1,quality_issue
user_495,female,44,HN,rarely,e-wallet,1,size_issue
user_496,female,46,Other,monthly,e-wallet,1,quality_issue
user_497,female,49,DN,rarely,credit_card,2,size_issue
user_498,male,35,HCM,rarely,e-wallet,2,wrong_item
user_499,female,46,Other,monthly,credit_card,2,quality_issue
user_500,other,43,HCM,weekly,e-wallet,5,wrong_item
